,COMPANY,date,SDG_7
205806,union pacific corp,2016-06-03,-4.224101023185639
206179,union pacific corp,2016-06-04,-4.984984979162981
206610,union pacific corp,2016-06-05,-4.547164798196454
206981,union pacific corp,2016-06-06,-4.693024975841953
207471,union pacific corp,2016-06-07,-3.9063091152571863
207943,union pacific corp,2016-06-08,-3.559879995676102
208493,union pacific corp,2016-06-09,-4.089438217409972
208971,union pacific corp,2016-06-10,-3.4615814559942493
209443,union pacific corp,2016-06-11,-4.556504201090522
209797,union pacific corp,2016-06-12,-2.9279371077421383
210132,union pacific corp,2016-06-13,-2.8032710113598194
210573,union pacific corp,2016-06-14,-2.8209017792741804
211176,union pacific corp,2016-06-15,-4.022258729538582
211594,union pacific corp,2016-06-16,-5.7260459145369875
212041,union pacific corp,2016-06-17,-6.2193982716677585
212566,union pacific corp,2016-06-18,-5.138546196347361
212912,union pacific corp,2016-06-19,-6.332971747535665
213259,union pacific corp,2016-06-20,-3.705016498824768
213858,union pacific corp,2016-06-21,-2.5989404086196597
214182,union pacific corp,2016-06-22,-5.04465211809632
214694,union pacific corp,2016-06-23,-6.479282891521909
215157,union pacific corp,2016-06-24,-6.309395209957166
215694,union pacific corp,2016-06-25,-3.6201989081395562
216156,union pacific corp,2016-06-26,-3.3985549988923136
216512,union pacific corp,2016-06-27,-2.8665945903273395
217013,union pacific corp,2016-06-28,-3.1732610359144
217368,union pacific corp,2016-06-29,-2.7799843139260068
217850,union pacific corp,2016-06-30,-2.1920721411292545
218385,union pacific corp,2016-07-01,-4.1455356545503665
218875,union pacific corp,2016-07-02,-3.7639709666411107
219254,union pacific corp,2016-07-03,-1.9133279718160408
219578,union pacific corp,2016-07-04,-4.332176075761301
219891,union pacific corp,2016-07-05,-1.9182974191844444
220473,union pacific corp,2016-07-06,-1.1132268934273881
220943,union pacific corp,2016-07-07,-2.890156183885861
221462,union pacific corp,2016-07-08,-2.2237899095970293
221991,union pacific corp,2016-07-09,0.9210458050501557
222187,union pacific corp,2016-07-10,-2.05357581287908
222699,union pacific corp,2016-07-11,-0.5340555804659697
223051,union pacific corp,2016-07-12,-2.846723142982733
223537,union pacific corp,2016-07-13,-3.403889385186065
