,COMPANY,date,SDG_7
504056,westinghouse air brake techn corp,2018-03-15,-0.6753709874907657
504457,westinghouse air brake techn corp,2018-03-16,-0.9742193472965144
505004,westinghouse air brake techn corp,2018-03-17,-1.743657242636875
505515,westinghouse air brake techn corp,2018-03-18,3.68421052631579
506119,westinghouse air brake techn corp,2018-03-19,-0.15390901321051698
506418,westinghouse air brake techn corp,2018-03-20,-0.5558473593328037
506936,westinghouse air brake techn corp,2018-03-21,-0.49680768566685796
507657,westinghouse air brake techn corp,2018-03-22,-1.010836822968851
507921,westinghouse air brake techn corp,2018-03-23,0.9225035888740023
508508,westinghouse air brake techn corp,2018-03-24,-0.2612624198925843
509201,westinghouse air brake techn corp,2018-03-25,0.7265518680359867
509386,westinghouse air brake techn corp,2018-03-26,0.34210665448586436
509938,westinghouse air brake techn corp,2018-03-27,-0.223227752639515
510412,westinghouse air brake techn corp,2018-03-28,1.6787487569444215
510865,westinghouse air brake techn corp,2018-03-29,2.4415974939066647
511454,westinghouse air brake techn corp,2018-03-30,-1.0949575323831946
511877,westinghouse air brake techn corp,2018-03-31,-2.5690221345226982
512262,westinghouse air brake techn corp,2018-04-01,-2.4208667485398707
512880,westinghouse air brake techn corp,2018-04-02,-0.07571219564059069
513275,westinghouse air brake techn corp,2018-04-03,-1.1830943419125144
513589,westinghouse air brake techn corp,2018-04-04,-4.749695050481856
514269,westinghouse air brake techn corp,2018-04-05,-2.2426957190341343
514709,westinghouse air brake techn corp,2018-04-06,-0.8024491308622268
515365,westinghouse air brake techn corp,2018-04-07,
515966,westinghouse air brake techn corp,2018-04-08,-4.11686586985392
516296,westinghouse air brake techn corp,2018-04-09,-1.77838577291382
516892,westinghouse air brake techn corp,2018-04-10,-0.12209692872157325
517226,westinghouse air brake techn corp,2018-04-11,
517832,westinghouse air brake techn corp,2018-04-12,0.45989974937343503
518344,westinghouse air brake techn corp,2018-04-13,-0.6718329659878787
518701,westinghouse air brake techn corp,2018-04-14,-1.9142552073816914
519315,westinghouse air brake techn corp,2018-04-15,0.6377455513616241
519504,westinghouse air brake techn corp,2018-04-16,-1.6185672974280267
520029,westinghouse air brake techn corp,2018-04-17,1.0600276167816673
520687,westinghouse air brake techn corp,2018-04-18,0.5430822587526009
521220,westinghouse air brake techn corp,2018-04-19,0.03916304691101169
521689,westinghouse air brake techn corp,2018-04-20,1.135505165590215
522155,westinghouse air brake techn corp,2018-04-21,1.094257756476592
522419,westinghouse air brake techn corp,2018-04-22,-2.2520378511991264
522907,westinghouse air brake techn corp,2018-04-23,-0.20358810573051697
523646,westinghouse air brake techn corp,2018-04-24,
