,0
0,http://www.nydailynews.com/newswires/news/business/experts-conditions-behind-cyberattack-hard-mimic-article-1.3162618
1,http://www.wben.com/articles/ap-news/latest-researcher-who-helped-halt-cyberattack-applauded
2,http://hosted2.ap.org/APDEFAULT/495d344a0d10421e9baa8ee77029cfbd/Article_2017-05-13-Global%20Cyberattack-The%20Latest/id-11893e820c434a02a55dcb9452fc71b6
3,http://www.ivpressonline.com/news/tech/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_58b83470-0430-5b69-8909-db914f8b669a.html
4,http://www.kxxv.com/story/35422034/experts-conditions-behind-cyberattack-may-be-hard-to-mimic
5,http://elkodaily.com/business/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_982b92ef-d7c0-52c1-a365-8cd4b82a28ee.html
6,http://www.ivpressonline.com/news/tech/the-latest-researcher-who-helped-halt-cyberattack-applauded/article_9640d820-f36d-5903-b305-c61ed69d013c.html
7,http://www.heraldcourier.com/news/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_5fab539c-8dcf-5e8c-94ff-f488d3f8c173.html
8,http://www.ivpressonline.com/news/tech/an-alert-researcher-cooperation-helped-stem-cyberattack/article_b5750222-c880-5833-8de9-33ad680a06e7.html
9,http://www.heraldcourier.com/news/the-latest-researcher-who-helped-halt-cyberattack-applauded/article_3ecaca6d-660d-5ce7-b996-984661fb6823.html
10,http://malaysiandigest.com/technology/674835-businesses-bolster-cyber-defenses-for-new-ransomware-attacks.html
11,http://www.shanghaidaily.com/business/Manhunt-for-hackers-behind-global-cyberattack/shdaily.shtml
12,http://hosted2.ap.org/APDEFAULT/495d344a0d10421e9baa8ee77029cfbd/Article_2017-05-13-US-TEC--Ransomware%20Evolves/id-73287526de1847cfb6b41a0b7ee09fdb
13,http://www.firstpost.com/world/businesses-bolster-cyber-defenses-for-new-ransomware-attacks-reuters-3443424.html
14,http://kwbu.org/post/security-researcher-and-microsoft-worked-stop-spread-cyberattack
15,http://www.fredericksburg.com/news/news-wire/the-latest-why-global-wannacry-outbreak-is-unusual/article_9b971171-fa4d-5991-9ee9-2fc2e6a2f007.html
16,http://www.wben.com/articles/ap-news/latest-us-researcher-glad-attack-stopped-fairly-quickly
17,http://www.freepressjournal.in/world/hostage-to-wanna-cry/1067676
18,http://www.theday.com/business/20170514/microsoft-aims-to-create-more-versatile-windows-10
19,http://www.reflector.com/National-Business/2017/05/14/The-Latest-Turkey-among-countries-hit-in-cyberattack.html
20,http://gonefishingfish.com/2017/05/14/can-south-korea-etfs-continue-to-surge-after-presidential/
21,http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2017-05-14-Global%20Cyberattack/id-3f4543f6e51c41fb87f97e102a0aada7
22,http://www.reflector.com/National-Business/2017/05/14/Lucky-break-slows-cyberattack-what-s-coming-could-be-worse.html
23,https://www.washingtonpost.com/world/the_americas/the-latest-us-researcher-glad-attack-stopped-fairly-quickly/2017/05/13/0ecaed10-3844-11e7-ab03-aa29f656f13e_story.html
24,http://www.theday.com/nationworld/20170514/alert-researcher-cooperation-helped-stem-cyberattack
25,http://kdhnews.com/business/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_7a303b60-76cc-55c2-94cc-dc0ae556e885.html
26,https://www.washingtonpost.com/national/ap-news-in-brief-at-1204-am-edt/2017/05/14/d1551980-385a-11e7-ab03-aa29f656f13e_story.html
27,http://eleganthomesinla.com/2017/05/14/trump-trolls-old-rival-rosie-odonnell-on-twitter-again/
28,http://www.reflector.com/National-Business/2017/05/14/Perfect-storm-of-conditions-helped-cyberattack-succeed.html
29,https://www.washingtonpost.com/national/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/2017/05/13/5f393a04-384e-11e7-ab03-aa29f656f13e_story.html
30,http://elcumanes.com/2017/05/trump-eyes-fast-decision-on-federal-bureau-of-investigation/
31,http://www.spacedaily.com/pageone/spacedaily-2017-05-12.html
32,http://www.wsiltv.com/story/35423488/lucky-break-slows-cyberattack-whats-coming-could-be-worse
33,http://www.newstribune.com/news/national/story/2017/may/14/voucher-proposals-expose-rift-school-choice-movement/673957/
34,http://english.china.com/news/china/54/20170514/965644.html
35,http://www.asiaone.com/world/manhunt-hackers-behind-global-cyberattack
36,http://www.heraldandnews.com/news/local_news/business/in-silicon-valley-even-mobile-homes-are-getting-too-pricey/article_34d15a1c-6c4e-5d93-8725-c0c73d687972.html
37,http://www.krdo.com/news/national-international-news/world-reels-from-massive-cyberattack-that-hit-nearly-100-countries/496620629
38,http://www.cio-today.com/article/index.php?story_id=0320035B4ESG
39,http://www.dnaindia.com/scitech/report-wrapup-1-businesses-brace-for-monday-as-ransomware-threat-lingers-2437778
40,http://www.skynews.com.au/news/top-stories/2017/05/14/govt-confirms-australia-hit-in-cyber-attack.html
41,http://www.china.org.cn/world/2017-05/14/content_40811689.htm
42,http://www.dnaindia.com/scitech/report-businesses-brace-for-monday-as-ransomware-threat-lingers-2437780
43,http://fremonttribune.com/news/world/the-latest-researcher-who-helped-halt-cyberattack-applauded/article_0576e8c8-6e1a-5d3b-a269-45c47f345f31.html
44,http://www.greensboro.com/ap/us_world/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_af6bebf1-8092-5c85-9560-781a2c3d0145.html
45,http://www.dailyprogress.com/news/business/wire/experts-conditions-behind-cyberattack-may-be-hard-to-mimic/article_c69805b7-ddcc-5b68-acaa-3eb9ee983748.html
46,http://www.wxow.com/story/35420612/the-latest-researcher-who-helped-halt-cyberattack-applauded
