,COMPANY,date,SDG_8
346871,microsoft corp,2017-04-24,0.23133937386908837
347349,microsoft corp,2017-04-25,0.6697919485301647
347859,microsoft corp,2017-04-26,-0.5009265152604464
348376,microsoft corp,2017-04-27,-0.33032216331451214
348913,microsoft corp,2017-04-28,0.3337417703115003
349424,microsoft corp,2017-04-29,-0.15792564323116423
349834,microsoft corp,2017-04-30,0.28865809189505165
350188,microsoft corp,2017-05-01,0.1803512652394991
350695,microsoft corp,2017-05-02,0.8482213815819276
351223,microsoft corp,2017-05-03,0.6208312234589454
351713,microsoft corp,2017-05-04,0.2048385888990507
352236,microsoft corp,2017-05-05,0.04943358438112043
352746,microsoft corp,2017-05-06,-0.05732474373495087
353162,microsoft corp,2017-05-07,0.22914514907229672
353570,microsoft corp,2017-05-08,0.3331114553301371
354094,microsoft corp,2017-05-09,0.9090299570036061
354627,microsoft corp,2017-05-10,0.9962325213864293
355113,microsoft corp,2017-05-11,0.37687439532395817
355592,microsoft corp,2017-05-12,-0.8558654063795811
356072,microsoft corp,2017-05-13,-3.3004385746200917
356517,microsoft corp,2017-05-14,-4.4118332489284695
356889,microsoft corp,2017-05-15,-4.15310116732841
357387,microsoft corp,2017-05-16,-2.127948643349288
357895,microsoft corp,2017-05-17,-1.110110854027879
358406,microsoft corp,2017-05-18,-0.5829840643958344
358973,microsoft corp,2017-05-19,0.18887483055116452
359418,microsoft corp,2017-05-20,-0.0010279828085976593
359864,microsoft corp,2017-05-21,0.04044156468147229
360185,microsoft corp,2017-05-22,0.31767978333132785
360669,microsoft corp,2017-05-23,0.46779299913315037
361180,microsoft corp,2017-05-24,-0.012431118290884956
361710,microsoft corp,2017-05-25,-0.08161423334691359
362201,microsoft corp,2017-05-26,0.46119015357334114
362727,microsoft corp,2017-05-27,0.2842604205458319
363142,microsoft corp,2017-05-28,0.20708829675568316
363559,microsoft corp,2017-05-29,1.1271672851611656
364022,microsoft corp,2017-05-30,0.8337425155303161
364510,microsoft corp,2017-05-31,0.6800262588341859
365014,microsoft corp,2017-06-01,0.7012200938532301
365527,microsoft corp,2017-06-02,0.1880102465296349
366031,microsoft corp,2017-06-03,0.28496914376669963
