,COMPANY,date,SDG_8
133532,starbucks corp,2015-12-25,-0.43773128428692265
133990,starbucks corp,2015-12-26,-0.5684168282550176
134353,starbucks corp,2015-12-27,-0.29504915067908394
134773,starbucks corp,2015-12-28,0.10635321040591865
135184,starbucks corp,2015-12-29,0.06596625968989368
135644,starbucks corp,2015-12-30,-2.4637408066041275
136127,starbucks corp,2015-12-31,-2.284519701627815
136611,starbucks corp,2016-01-01,-1.6457181252481776
136978,starbucks corp,2016-01-02,-1.2982663665137948
137295,starbucks corp,2016-01-03,-1.0769195815521342
137674,starbucks corp,2016-01-04,-0.02044272399759182
138141,starbucks corp,2016-01-05,-0.0024166418612317437
138634,starbucks corp,2016-01-06,-0.10494978534290554
139181,starbucks corp,2016-01-07,0.573474715903324
139669,starbucks corp,2016-01-08,-0.1952966955185951
140029,starbucks corp,2016-01-09,-0.09236702720206769
140428,starbucks corp,2016-01-10,0.08486504218789431
140784,starbucks corp,2016-01-11,-2.6669901445045268
141248,starbucks corp,2016-01-12,-0.8471723546177216
141716,starbucks corp,2016-01-13,-0.7141323196304523
142177,starbucks corp,2016-01-14,-6.129949106205356
142664,starbucks corp,2016-01-15,-4.77212036225878
143138,starbucks corp,2016-01-16,-3.0218268893733815
143512,starbucks corp,2016-01-17,-1.9180210823449677
143891,starbucks corp,2016-01-18,-1.948078466307326
144346,starbucks corp,2016-01-19,-0.4437923912396441
144850,starbucks corp,2016-01-20,-0.7032914268721261
145305,starbucks corp,2016-01-21,-0.609454314399443
145799,starbucks corp,2016-01-22,-0.705423175458655
146255,starbucks corp,2016-01-23,-1.6212072683209773
146650,starbucks corp,2016-01-24,-1.0305948820952628
147030,starbucks corp,2016-01-25,-0.23563838911784224
147522,starbucks corp,2016-01-26,-0.34481428846264134
148028,starbucks corp,2016-01-27,-0.8522652945990334
148460,starbucks corp,2016-01-28,-2.100419274656221
148899,starbucks corp,2016-01-29,-1.3494285741785899
149446,starbucks corp,2016-01-30,-2.1038100204181407
149809,starbucks corp,2016-01-31,-1.3485288639821431
150167,starbucks corp,2016-02-01,-0.7706786049786242
150672,starbucks corp,2016-02-02,-0.2662628627534807
151176,starbucks corp,2016-02-03,-0.5954458192364137
