,1. No Poverty,2. Zero Hunger,3. Good Health and Well-being,4. Quality Education,5. Gender Equality,6. Clean Water and Sanitaion,7. Affordable and Clean Energy,8. Decent Work and Economic Growth,"9. Industry, Innovation and Infrastructure",10. Reduced Inequalities,11. Sustainable Cities and Communities,12. Responsible Consumption and Production,13. Climate Action,14. Life below Water,15. Life on Land,"16. Peace, Justice and Strong Institutions",17. Partnerships for the Goals
0,unemployed person,animal genetic,vaccine,knowledge,asexual,lake,energy mix,labour safetychildren's rights,startup,international organization,holistic disaster risk management,food loss,climate action,enhance scientific cooperation,pursue sustainable livelihood opportunity,transparent institution,stakeholder partnership
1,disaster risk,commercial agriculture,medical,pedagogical purpose,sexual health,watersheds,energy technology,migrant worker,entrepreneurs,small-scale industry,disaster risk reduction,hazardous waste treat,environmental protection,united nation framework convention,wildlife,prison population,sustainable develop
2,population living,food production,water-borne,quality education,woman equal,oceans,affordable energy,pocal product,small-scale industrial,official development assistance,population growth,sustainable pattern,co2,overfishing,ecosystem,international organization,nonequity investment instruments
3,work-injury victims,land use,child health,reading,women's economic empowermentpay gap,ecosystem,energy infrastructure,recruitment,small business owner,financial soundness indicator,urban planning,national policy,disaster risk reduction,sustainable fishery,official development assistance,civil authority,ir department
4,social protection floor,chemicals,health organization,primary entry,genital,groundwater,electricity,productive employment,entrepreneurship,donor country,waste management,plasticfinancial reporting,zero waste,seafood,combat desertification,peace,financial inclusion
5,affect person,food & beverage,infectious,childhood development,man,address water scarcity,energy intensity,labour-intensive,industrial diversification,well- manage migration policy,rural,environmental impact,integrate mitigation,marine technology,forest,injustice,funds
6,vulnerable situation,genetic diversity,health,technical,psychological violence,watershed,sustainable energy service,modern slavery,communication technology,financial flow,urban population,polyesterDJSI,united nation framework convention,marine,mountain,international agreement,official development assistance
7,social protection,toxic,disease,education,guarantee woman,water stewardship,upgrade technology,trade ,industrial,legitimate,population living,sustainable tourism strategy,climate,marine ,reverse land degradation,whistleblowergovernment policywar,competition
8,sustainable development,food manufacturer,mortality,upper secondary,reproductive health,drinkable water,renewable energy,mistrust,co-founders,criminalize,person victim,recycledcommunication on engagement,energy management system,fishery subsidy,priority specie,population satisfy,equity investment instruments
9,natural resource,productive resource,human health,scholarship,monitor equality,water quality,sustainable energy,labour right,transborder infrastructure,global international economic,population weight,thrifty,adaptive capacity,marine biodiversity,island,population subject,sustainable develop extent
10,rich,farm,tobacco,mathematics,woman,saltwater,fossil-fuel,material footprint,groundwork,sustain income growth,strengthen national,material footprint,anthropogenic global warming,international law,biodiversity loss,financial flow,policy coordination
11,shock,toxicity,death rate,non-formal education,sexual violence,water-use efficiency,hybrid,innovation,production,african country,human settlement,fibrereporting framework,pathways,sea,invasive alien specie goal,bribe,mistrust
12,disaster,soil ,aids,youth,equal opportunity,h2o,primary energy,labor safetychild labour,manufacture employment,global financial market,affect person,reduce waste generation,institutional capacity,ocean,integrate ecosystem,national legislation,investor relations
13,death,farmers,hepatitis,numeracy,woman empowerment,lakes,energy consumption,withdraw,innovation,sustainable development,public transport,hazardous waste generate,SBT,productive ocean,mountain biodiversity,psychological violence,official development assistance commitment
14,grant,malnutrition,filial,learning,held by woman,hazardous chemical,energy service,youth employment,basic facility,financial institution,dangerous,global citizenship education,mechanism,average marine acidity,land degradation,lobbyingpublic policyconflict-affected,markets
15,economic resource,beverages,health-care,literacy,public allocation,"ocean,",reliable energy,national legislation,technical support,illegitimate,direct economic loss,harmful subsidy,technology transfer,fishery,sustainable development,physical violence,debt restructuring
16,poor,sufficient food,public health,education facility,early marriage,open defecation,clean energy,nonworker,industry,high-tech,settlement planning,sustainable tourism,resilience,ocean acidification,water ecosystem,compliancecode of conductconflict affected,stock markets
